topic_id,words
0,"[('zurich_premiership', 0.0), ('foreign firm', 0.0), ('foreign suspect', 0.0), ('foreign office', 0.0), ('foreign national', 0.0), ('foreign minister', 0.0), ('foreign language', 0.0), ('foreign investor', 0.0), ('foreign investment', 0.0), ('foreign film', 0.0)]"
1,"[('zurich_premiership', 0.0), ('foreign firm', 0.0), ('foreign suspect', 0.0), ('foreign office', 0.0), ('foreign national', 0.0), ('foreign minister', 0.0), ('foreign language', 0.0), ('foreign investor', 0.0), ('foreign investment', 0.0), ('foreign film', 0.0)]"
2,"[('zurich_premiership', 0.0), ('foreign firm', 0.0), ('foreign suspect', 0.0), ('foreign office', 0.0), ('foreign national', 0.0), ('foreign minister', 0.0), ('foreign language', 0.0), ('foreign investor', 0.0), ('foreign investment', 0.0), ('foreign film', 0.0)]"
3,"[('zurich_premiership', 0.0), ('foreign firm', 0.0), ('foreign suspect', 0.0), ('foreign office', 0.0), ('foreign national', 0.0), ('foreign minister', 0.0), ('foreign language', 0.0), ('foreign investor', 0.0), ('foreign investment', 0.0), ('foreign film', 0.0)]"
4,"[('zurich_premiership', 0.0), ('foreign firm', 0.0), ('foreign suspect', 0.0), ('foreign office', 0.0), ('foreign national', 0.0), ('foreign minister', 0.0), ('foreign language', 0.0), ('foreign investor', 0.0), ('foreign investment', 0.0), ('foreign film', 0.0)]"
5,"[('zurich_premiership', 0.0), ('foreign firm', 0.0), ('foreign suspect', 0.0), ('foreign office', 0.0), ('foreign national', 0.0), ('foreign minister', 0.0), ('foreign language', 0.0), ('foreign investor', 0.0), ('foreign investment', 0.0), ('foreign film', 0.0)]"
6,"[('zurich_premiership', 0.0), ('foreign firm', 0.0), ('foreign suspect', 0.0), ('foreign office', 0.0), ('foreign national', 0.0), ('foreign minister', 0.0), ('foreign language', 0.0), ('foreign investor', 0.0), ('foreign investment', 0.0), ('foreign film', 0.0)]"
7,"[('zurich_premiership', 0.0), ('foreign firm', 0.0), ('foreign suspect', 0.0), ('foreign office', 0.0), ('foreign national', 0.0), ('foreign minister', 0.0), ('foreign language', 0.0), ('foreign investor', 0.0), ('foreign investment', 0.0), ('foreign film', 0.0)]"
8,"[('zurich_premiership', 0.0), ('foreign firm', 0.0), ('foreign suspect', 0.0), ('foreign office', 0.0), ('foreign national', 0.0), ('foreign minister', 0.0), ('foreign language', 0.0), ('foreign investor', 0.0), ('foreign investment', 0.0), ('foreign film', 0.0)]"
9,"[('zurich_premiership', 0.0), ('foreign firm', 0.0), ('foreign suspect', 0.0), ('foreign office', 0.0), ('foreign national', 0.0), ('foreign minister', 0.0), ('foreign language', 0.0), ('foreign investor', 0.0), ('foreign investment', 0.0), ('foreign film', 0.0)]"
